Type;Time_ns;Measurement
Sequential;6713;0
Sequential;6722;1
Sequential;6722;2
Sequential;6723;3
Sequential;6742;4
Sequential;6752;5
Sequential;6763;6
Sequential;6773;7
Sequential;6913;8
Sequential;6983;9
Sequential;7034;10
Sequential;7043;11
Sequential;7094;12
Sequential;7124;13
Sequential;7414;14
Sequential;7735;15
Sequential;7755;16
Sequential;7784;17
Sequential;7845;18
Sequential;8125;19
Sequential;8166;20
Sequential;8235;21
Sequential;8266;22
Sequential;8275;23
Sequential;8305;24
Sequential;8356;25
Sequential;8366;26
Sequential;8416;27
Sequential;8436;28
Sequential;8455;29
Sequential;8466;30
Sequential;8536;31
Sequential;8586;32
Sequential;8667;33
Sequential;8696;34
Sequential;8726;35
Sequential;8736;36
Sequential;8767;37
Sequential;8867;38
Sequential;8897;39
Sequential;8947;40
Sequential;8987;41
Sequential;9057;42
Sequential;9057;43
Sequential;9217;44
Sequential;9298;45
Sequential;9418;46
Sequential;9618;47
Sequential;9748;48
Sequential;9808;49
Sequential;9849;50
Sequential;9888;51
Sequential;11982;52
Sequential;14477;53
Sequential;14527;54
Sequential;14647;55
Sequential;14758;56
Sequential;14898;57
Sequential;14979;58
Sequential;15018;59
Sequential;15138;60
Sequential;15299;61
Sequential;15309;62
Sequential;15359;63
Sequential;15589;64
Sequential;15870;65
Sequential;15880;66
Sequential;15909;67
Sequential;16201;68
Sequential;16742;69
Sequential;18705;70
Sequential;19476;71
Sequential;20689;72
Sequential;21370;73
Sequential;23083;74
Sequential;24065;75
Sequential;25278;76
Sequential;27402;77
Sequential;27532;78
Sequential;27752;79
Thread(1);59672;0
Thread(1);59722;1
Thread(1);59813;2
Thread(1);59883;3
Thread(1);60032;4
Thread(1);60133;5
Thread(1);60214;6
Thread(1);60343;7
Thread(1);60735;8
Thread(1);60874;9
Thread(1);60965;10
Thread(1);61115;11
Thread(1);61556;12
Thread(1);61666;13
Thread(1);61796;14
Thread(1);61917;15
Thread(1);61996;16
Thread(1);62026;17
Thread(1);62157;18
Thread(1);62197;19
Thread(1);62868;20
Thread(1);63569;21
Thread(1);63690;22
Thread(1);64070;23
Thread(1);64110;24
Thread(1);64251;25
Thread(1);64521;26
Thread(1);65453;27
Thread(1);65854;28
Thread(1);65934;29
Thread(1);65964;30
Thread(1);66114;31
Thread(1);66115;32
Thread(1);66245;33
Thread(1);66626;34
Thread(1);66816;35
Thread(1);67387;36
Thread(1);68438;37
Thread(1);68779;38
Thread(1);69471;39
Thread(1);69731;40
Thread(1);69911;41
Thread(1);71434;42
Thread(1);71434;43
Thread(1);71454;44
Thread(1);71504;45
Thread(1);72205;46
Thread(1);72917;47
Thread(1);73158;48
Thread(1);73498;49
Thread(1);73689;50
Thread(1);74460;51
Thread(1);75241;52
Thread(1);75672;53
Thread(1);76934;54
Thread(1);77767;55
Thread(1);78758;56
Thread(1);80662;57
Thread(1);80923;58
Thread(1);81012;59
Thread(1);82064;60
Thread(1);92874;61
Thread(1);99757;62
Thread(1);103805;63
Thread(1);107072;64
Thread(1);107272;65
Thread(1);108043;66
Thread(1);110297;67
Thread(1);113313;68
Thread(1);114345;69
Thread(1);116889;70
Thread(1);117591;71
Thread(1);118593;72
Thread(1);118653;73
Thread(1);120106;74
Thread(1);120356;75
Thread(1);124093;76
Thread(1);128181;77
Thread(1);130295;78
Thread(1);130736;79
Thread(2);76844;0
Thread(2);76894;1
Thread(2);76915;2
Thread(2);77235;3
Thread(2);77406;4
Thread(2);77776;5
Thread(2);77826;6
Thread(2);77857;7
Thread(2);77896;8
Thread(2);77977;9
Thread(2);78207;10
Thread(2);78548;11
Thread(2);78558;12
Thread(2);78978;13
Thread(2);79059;14
Thread(2);79309;15
Thread(2);79419;16
Thread(2);79489;17
Thread(2);79530;18
Thread(2);79720;19
Thread(2);79951;20
Thread(2);80331;21
Thread(2);80762;22
Thread(2);80822;23
Thread(2);80952;24
Thread(2);81313;25
Thread(2);81443;26
Thread(2);81503;27
Thread(2);81744;28
Thread(2);81914;29
Thread(2);82765;30
Thread(2);82986;31
Thread(2);83367;32
Thread(2);84068;33
Thread(2);84098;34
Thread(2);85090;35
Thread(2);85291;36
Thread(2);85832;37
Thread(2);85951;38
Thread(2);86222;39
Thread(2);86412;40
Thread(2);87064;41
Thread(2);87465;42
Thread(2);87554;43
Thread(2);87635;44
Thread(2);88386;45
Thread(2);88857;46
Thread(2);89749;47
Thread(2);89779;48
Thread(2);89859;49
Thread(2);90049;50
Thread(2);90991;51
Thread(2);91091;52
Thread(2);92243;53
Thread(2);92423;54
Thread(2);92714;55
Thread(2);92785;56
Thread(2);92905;57
Thread(2);93646;58
Thread(2);95600;59
Thread(2);98155;60
Thread(2);100148;61
Thread(2);103344;62
Thread(2);103925;63
Thread(2);105118;64
Thread(2);109055;65
Thread(2);109776;66
Thread(2);110918;67
Thread(2);111149;68
Thread(2);111400;69
Thread(2);115087;70
Thread(2);116509;71
Thread(2);121609;72
Thread(2);122701;73
Thread(2);130125;74
Thread(2);130936;75
Thread(2);133371;76
Thread(2);142127;77
Thread(2);144322;78
Thread(2);147367;79
Thread(4);118473;0
Thread(4);119855;1
Thread(4);120096;2
Thread(4);120216;3
Thread(4);120858;4
Thread(4);120957;5
Thread(4);121569;6
Thread(4);122391;7
Thread(4);122881;8
Thread(4);125897;9
Thread(4);126047;10
Thread(4);127540;11
Thread(4);127700;12
Thread(4);127750;13
Thread(4);128011;14
Thread(4);128171;15
Thread(4);128221;16
Thread(4);129092;17
Thread(4);129414;18
Thread(4);130065;19
Thread(4);131427;20
Thread(4);132289;21
Thread(4);132840;22
Thread(4);133101;23
Thread(4);133461;24
Thread(4);133581;25
Thread(4);133601;26
Thread(4);134332;27
Thread(4);134343;28
Thread(4);134743;29
Thread(4);134943;30
Thread(4);136076;31
Thread(4);136276;32
Thread(4);136326;33
Thread(4);136697;34
Thread(4);136818;35
Thread(4);137358;36
Thread(4);138150;37
Thread(4);138421;38
Thread(4);138460;39
Thread(4);138641;40
Thread(4);138701;41
Thread(4);139252;42
Thread(4);139703;43
Thread(4);140023;44
Thread(4);140094;45
Thread(4);141375;46
Thread(4);141676;47
Thread(4);142397;48
Thread(4);142729;49
Thread(4);142798;50
Thread(4);142799;51
Thread(4);142878;52
Thread(4);143650;53
Thread(4);143780;54
Thread(4);144622;55
Thread(4);144812;56
Thread(4);144983;57
Thread(4);145283;58
Thread(4);145444;59
Thread(4);145874;60
Thread(4);146926;61
Thread(4);147097;62
Thread(4);147517;63
Thread(4);148248;64
Thread(4);148279;65
Thread(4);149181;66
Thread(4);149381;67
Thread(4);149661;68
Thread(4);152246;69
Thread(4);152998;70
Thread(4);153929;71
Thread(4);154099;72
Thread(4);154581;73
Thread(4);154832;74
Thread(4);155242;75
Thread(4);155432;76
Thread(4);155712;77
Thread(4);156905;78
Thread(4);157977;79
Thread(8);196549;0
Thread(8);197091;1
Thread(8);198683;2
Thread(8);200827;3
Thread(8);201980;4
Thread(8);202812;5
Thread(8);203332;6
Thread(8);204645;7
Thread(8);205356;8
Thread(8);207169;9
Thread(8);209083;10
Thread(8);209364;11
Thread(8);209484;12
Thread(8);209494;13
Thread(8);210736;14
Thread(8);211157;15
Thread(8);211438;16
Thread(8);213381;17
Thread(8);214053;18
Thread(8);214363;19
Thread(8);216417;20
Thread(8);216557;21
Thread(8);217108;22
Thread(8);218300;23
Thread(8);218501;24
Thread(8);219072;25
Thread(8);220595;26
Thread(8);221647;27
Thread(8);221717;28
Thread(8);221817;29
Thread(8);222388;30
Thread(8);222789;31
Thread(8);222979;32
Thread(8);224202;33
Thread(8);225163;34
Thread(8);228169;35
Thread(8);229762;36
Thread(8);230564;37
Thread(8);230934;38
Thread(8);233038;39
Thread(8);233559;40
Thread(8);233750;41
Thread(8);234330;42
Thread(8);234350;43
Thread(8);235523;44
Thread(8);235573;45
Thread(8);236104;46
Thread(8);236815;47
Thread(8);237185;48
Thread(8);239951;49
Thread(8);241935;50
Thread(8);245432;51
Thread(8);246083;52
Thread(8);246524;53
Thread(8);247325;54
Thread(8);247375;55
Thread(8);247435;56
Thread(8);248748;57
Thread(8);249610;58
Thread(8);250361;59
Thread(8);250431;60
Thread(8);253877;61
Thread(8);255220;62
Thread(8);255270;63
Thread(8);257474;64
Thread(8);258396;65
Thread(8);259478;66
Thread(8);261873;67
Thread(8);262353;68
Thread(8);262965;69
Thread(8);269877;70
Thread(8);276409;71
Thread(8);281789;72
Thread(8);283272;73
Thread(8);283593;74
Thread(8);289184;75
Thread(8);294444;76
Thread(8);296768;77
Thread(8);300415;78
Thread(8);300494;79
Thread(16);380455;0
Thread(16);383891;1
Thread(16);387969;2
Thread(16);391195;3
Thread(16);392458;4
Thread(16);396315;5
Thread(16);396786;6
Thread(16);396846;7
Thread(16);398820;8
Thread(16);399231;9
Thread(16);402216;10
Thread(16);402416;11
Thread(16);402727;12
Thread(16);403378;13
Thread(16);405352;14
Thread(16);405563;15
Thread(16);407376;16
Thread(16);409661;17
Thread(16);410422;18
Thread(16);410902;19
Thread(16);411424;20
Thread(16);412806;21
Thread(16);415410;22
Thread(16);415881;23
Thread(16);416493;24
Thread(16);416533;25
Thread(16);417605;26
Thread(16);418427;27
Thread(16);418547;28
Thread(16);418837;29
Thread(16);419178;30
Thread(16);420911;31
Thread(16);421603;32
Thread(16);422714;33
Thread(16);426061;34
Thread(16);427053;35
Thread(16);427173;36
Thread(16);429067;37
Thread(16);429968;38
Thread(16);430018;39
Thread(16);430600;40
Thread(16);430910;41
Thread(16);431842;42
Thread(16);432242;43
Thread(16);434657;44
Thread(16);435839;45
Thread(16);437002;46
Thread(16);437463;47
Thread(16);437733;48
Thread(16);439826;49
Thread(16);440768;50
Thread(16);442883;51
Thread(16);443504;52
Thread(16);444375;53
Thread(16);445798;54
Thread(16);445959;55
Thread(16);446389;56
Thread(16);449525;57
Thread(16);454945;58
Thread(16);456208;59
Thread(16);458391;60
Thread(16);460235;61
Thread(16);463060;62
Thread(16);465074;63
Thread(16);466667;64
Thread(16);468200;65
Thread(16);470354;66
Thread(16);470915;67
Thread(16);472208;68
Thread(16);473199;69
Thread(16);473229;70
Thread(16);476436;71
Thread(16);476446;72
Thread(16);476927;73
Thread(16);478850;74
Thread(16);480273;75
Thread(16);489641;76
Thread(16);489951;77
Thread(16);490782;78
Thread(16);492596;79
Thread(32);650123;0
Thread(32);652045;1
Thread(32);653388;2
Thread(32);653398;3
Thread(32);654140;4
Thread(32);656304;5
Thread(32);657356;6
Thread(32);658247;7
Thread(32);660962;8
Thread(32);663778;9
Thread(32);664770;10
Thread(32);670140;11
Thread(32);670560;12
Thread(32);670822;13
Thread(32);670832;14
Thread(32);671583;15
Thread(32);671603;16
Thread(32);672504;17
Thread(32);675129;18
Thread(32);676272;19
Thread(32);678255;20
Thread(32);679707;21
Thread(32);682283;22
Thread(32);684517;23
Thread(32);685478;24
Thread(32);687753;25
Thread(32);688314;26
Thread(32);694325;27
Thread(32);695517;28
Thread(32);697802;29
Thread(32);697993;30
Thread(32);698764;31
Thread(32);699966;32
Thread(32);700126;33
Thread(32);700196;34
Thread(32);700197;35
Thread(32);708352;36
Thread(32);709874;37
Thread(32);712319;38
Thread(32);713221;39
Thread(32);713321;40
Thread(32);714232;41
Thread(32);715495;42
Thread(32);718400;43
Thread(32);719392;44
Thread(32);720134;45
Thread(32);724392;46
Thread(32);725965;47
Thread(32);726486;48
Thread(32);727277;49
Thread(32);727498;50
Thread(32);727928;51
Thread(32);730844;52
Thread(32);731495;53
Thread(32);733428;54
Thread(32);733729;55
Thread(32);734110;56
Thread(32);741804;57
Thread(32);744179;58
Thread(32);752154;59
Thread(32);754338;60
Thread(32);755671;61
Thread(32);755731;62
Thread(32);762142;63
Thread(32);768766;64
Thread(32);769086;65
Thread(32);770137;66
Thread(32);773043;67
Thread(32);775748;68
Thread(32);778754;69
Thread(32);796707;70
Thread(32);803471;71
Thread(32);805364;72
Thread(32);809512;73
Thread(32);812858;74
Thread(32);813871;75
Thread(32);822295;76
Thread(32);824941;77
Thread(32);827105;78
Thread(32);829169;79
ParallelStream;66735;0
ParallelStream;67117;1
ParallelStream;67316;2
