Type;Time_ns;Measurement
Sequential;78317;0
Sequential;78337;1
Sequential;78408;2
Sequential;78438;3
Sequential;78467;4
Sequential;78527;5
Sequential;78557;6
Sequential;78578;7
Sequential;78588;8
Sequential;78627;9
Sequential;78698;10
Sequential;78969;11
Sequential;79119;12
Sequential;79239;13
Sequential;79409;14
Sequential;79690;15
Sequential;79880;16
Sequential;80271;17
Sequential;81493;18
Sequential;81774;19
Sequential;83376;20
Sequential;89698;21
Sequential;93476;22
Sequential;94898;23
Sequential;100279;24
Sequential;101631;25
Sequential;102943;26
Sequential;104076;27
Sequential;104436;28
Sequential;104837;29
Sequential;104927;30
Sequential;105028;31
Sequential;105188;32
Sequential;105608;33
Sequential;106741;34
Sequential;107582;35
Sequential;107782;36
Sequential;107802;37
Sequential;110397;38
Sequential;110678;39
Sequential;110708;40
Sequential;111089;41
Sequential;111099;42
Sequential;111600;43
Sequential;112512;44
Sequential;113373;45
Sequential;114395;46
Sequential;117712;47
Sequential;122730;48
Sequential;126759;49
Sequential;127119;50
Sequential;128151;51
Sequential;131477;52
Sequential;132669;53
Sequential;146586;54
Sequential;146696;55
Sequential;147017;56
Sequential;147107;57
Sequential;147197;58
Sequential;148138;59
Sequential;148619;60
Sequential;149250;61
Sequential;149692;62
Sequential;151034;63
Sequential;151856;64
Sequential;152587;65
Sequential;153058;66
Sequential;156784;67
Sequential;172664;68
Sequential;175310;69
Sequential;175439;70
Sequential;196218;71
Sequential;200377;72
Sequential;201449;73
Sequential;201619;74
Sequential;201889;75
Sequential;208652;76
Sequential;209123;77
Sequential;214112;78
Sequential;214162;79
Thread(1);122600;0
Thread(1);123493;1
Thread(1);123703;2
Thread(1);124605;3
Thread(1);125385;4
Thread(1);125716;5
Thread(1);125826;6
Thread(1);125957;7
Thread(1);126969;8
Thread(1);127861;9
Thread(1);128352;10
Thread(1);128531;11
Thread(1);128622;12
Thread(1);128842;13
Thread(1);128993;14
Thread(1);129082;15
Thread(1);129113;16
Thread(1);129223;17
Thread(1);129263;18
Thread(1);129333;19
Thread(1);129554;20
Thread(1);129864;21
Thread(1);130075;22
Thread(1);130205;23
Thread(1);131768;24
Thread(1);132118;25
Thread(1);132178;26
Thread(1);133350;27
Thread(1);133801;28
Thread(1);134192;29
Thread(1);134563;30
Thread(1);134713;31
Thread(1);135314;32
Thread(1);135655;33
Thread(1);135825;34
Thread(1);136757;35
Thread(1);136978;36
Thread(1);137509;37
Thread(1);138481;38
Thread(1);138521;39
Thread(1);138721;40
Thread(1);139041;41
Thread(1);139713;42
Thread(1);139733;43
Thread(1);140424;44
Thread(1);142177;45
Thread(1);142799;46
Thread(1);142819;47
Thread(1);142989;48
Thread(1);143159;49
Thread(1);144662;50
Thread(1);145383;51
Thread(1);145604;52
Thread(1);146415;53
Thread(1);146846;54
Thread(1);147377;55
Thread(1);147588;56
Thread(1);147828;57
Thread(1);149061;58
Thread(1);149070;59
Thread(1);150964;60
Thread(1);151905;61
Thread(1);152186;62
Thread(1);152346;63
Thread(1);152557;64
Thread(1);155572;65
Thread(1);157396;66
Thread(1);157617;67
Thread(1);159129;68
Thread(1);161113;69
Thread(1);163427;70
Thread(1);165652;71
Thread(1);170591;72
Thread(1);170951;73
Thread(1);176101;74
Thread(1);181231;75
Thread(1);181562;76
Thread(1);183155;77
Thread(1);189857;78
Thread(1);191540;79
Thread(2);92023;0
Thread(2);92253;1
Thread(2);92785;2
Thread(2);93014;3
Thread(2);93206;4
Thread(2);93325;5
Thread(2);93336;6
Thread(2);93435;7
Thread(2);93646;8
Thread(2);93806;9
Thread(2);93857;10
Thread(2);94357;11
Thread(2);94408;12
Thread(2);94457;13
Thread(2);94468;14
Thread(2);94578;15
Thread(2);94598;16
Thread(2);94928;17
Thread(2);95179;18
Thread(2);95259;19
Thread(2);95509;20
Thread(2);95630;21
Thread(2);95710;22
Thread(2);95720;23
Thread(2);95880;24
Thread(2);95960;25
Thread(2);96001;26
Thread(2);96050;27
Thread(2);96983;28
Thread(2);97073;29
Thread(2);97243;30
Thread(2);97243;31
Thread(2);97443;32
Thread(2);97945;33
Thread(2);98065;34
Thread(2);98205;35
Thread(2);98395;36
Thread(2);98866;37
Thread(2);99096;38
Thread(2);99357;39
Thread(2);99818;40
Thread(2);100118;41
Thread(2);100449;42
Thread(2);100569;43
Thread(2);100599;44
Thread(2);100629;45
Thread(2);101451;46
Thread(2);102512;47
Thread(2);102874;48
Thread(2);103385;49
Thread(2);103424;50
Thread(2);105228;51
Thread(2);105318;52
Thread(2);105629;53
Thread(2);106410;54
Thread(2);106511;55
Thread(2);106651;56
Thread(2);107072;57
Thread(2);107102;58
Thread(2);107252;59
Thread(2);109095;60
Thread(2);109926;61
Thread(2);110408;62
Thread(2);110418;63
Thread(2);111660;64
Thread(2);112661;65
Thread(2);113484;66
Thread(2);114505;67
Thread(2);115578;68
Thread(2);115808;69
Thread(2);117852;70
Thread(2);117871;71
Thread(2);118503;72
Thread(2);121559;73
Thread(2);122010;74
Thread(2);129513;75
Thread(2);132479;76
Thread(2);133200;77
Thread(2);137238;78
Thread(2);141607;79
Thread(4);123452;0
Thread(4);124064;1
Thread(4);124965;2
Thread(4);125365;3
Thread(4);125616;4
Thread(4);125716;5
Thread(4);125767;6
Thread(4);126337;7
Thread(4);126839;8
Thread(4);127299;9
Thread(4);127309;10
Thread(4);128081;11
Thread(4);128161;12
Thread(4);129092;13
Thread(4);129193;14
Thread(4);129413;15
Thread(4);129834;16
Thread(4);129854;17
Thread(4);129914;18
Thread(4);130055;19
Thread(4);130365;20
Thread(4);130485;21
Thread(4);130605;22
Thread(4);130786;23
Thread(4);130996;24
Thread(4);131096;25
Thread(4);131176;26
Thread(4);131227;27
Thread(4);131267;28
Thread(4);131767;29
Thread(4);131798;30
Thread(4);131837;31
Thread(4);131898;32
Thread(4);132119;33
Thread(4);132649;34
Thread(4);132840;35
Thread(4);133361;36
Thread(4);133411;37
Thread(4);133440;38
Thread(4);133481;39
Thread(4);133561;40
Thread(4);133621;41
Thread(4);134493;42
Thread(4);134513;43
Thread(4);135585;44
Thread(4);136116;45
Thread(4);136237;46
Thread(4);136787;47
Thread(4);136918;48
Thread(4);138461;49
Thread(4);138601;50
Thread(4);138621;51
Thread(4);140234;52
Thread(4);140354;53
Thread(4);140825;54
Thread(4);140915;55
Thread(4);141526;56
Thread(4);141706;57
Thread(4);142919;58
Thread(4);143009;59
Thread(4);143069;60
Thread(4);143159;61
Thread(4);143750;62
Thread(4);143950;63
Thread(4);144832;64
Thread(4);146866;65
Thread(4);147467;66
Thread(4);148108;67
Thread(4);148629;68
Thread(4);148920;69
Thread(4);148960;70
Thread(4);149321;71
Thread(4);152256;72
Thread(4);155512;73
Thread(4);156054;74
Thread(4);158007;75
Thread(4);158959;76
Thread(4);159590;77
Thread(4);161243;78
