Type;Time_ns;Measurement
Sequential;170;0
Sequential;170;1
Sequential;180;2
Sequential;180;3
Sequential;180;4
Sequential;180;5
Sequential;181;6
Sequential;181;7
Sequential;181;8
Sequential;190;9
Sequential;190;10
Sequential;190;11
Sequential;190;12
Sequential;190;13
Sequential;191;14
Sequential;191;15
Sequential;200;16
Sequential;200;17
Sequential;200;18
Sequential;201;19
Sequential;201;20
Sequential;201;21
Sequential;210;22
Sequential;210;23
Sequential;210;24
Sequential;210;25
Sequential;210;26
Sequential;210;27
Sequential;211;28
Sequential;211;29
Sequential;211;30
Sequential;220;31
Sequential;221;32
Sequential;221;33
Sequential;230;34
Sequential;230;35
Sequential;231;36
Sequential;240;37
Sequential;240;38
Sequential;241;39
Thread(1);35657;0
Thread(1);36508;1
Thread(1);36959;2
Thread(1);37119;3
Thread(1);37150;4
Thread(1);37270;5
Thread(1);37631;6
Thread(1);37680;7
Thread(1);37851;8
Thread(1);38382;9
Thread(1);38582;10
Thread(1);38623;11
Thread(1);38693;12
Thread(1);38813;13
Thread(1);39014;14
Thread(1);39213;15
Thread(1);39293;16
Thread(1);39744;17
Thread(1);40276;18
Thread(1);40416;19
Thread(1);41718;20
Thread(1);42259;21
Thread(1);42410;22
Thread(1);45826;23
Thread(1);45956;24
Thread(1);46648;25
Thread(1);48501;26
Thread(1);50735;27
Thread(1);51176;28
Thread(1);51596;29
Thread(1);52839;30
Thread(1);53320;31
Thread(1);54553;32
Thread(1);55955;33
Thread(1);57207;34
Thread(1);57979;35
Thread(1);62979;36
Thread(1);63209;37
Thread(1);65242;38
Thread(1);66195;39
Thread(2);58470;0
Thread(2);59011;1
Thread(2);59171;2
Thread(2);59822;3
Thread(2);60033;4
Thread(2);60113;5
Thread(2);60323;6
Thread(2);60704;7
Thread(2);60935;8
Thread(2);61435;9
Thread(2);61616;10
Thread(2);62488;11
Thread(2);63890;12
Thread(2);64832;13
Thread(2);64972;14
Thread(2);66084;15
Thread(2);66826;16
Thread(2);67326;17
Thread(2);69601;18
Thread(2);69921;19
Thread(2);70512;20
Thread(2);71063;21
Thread(2);71154;22
Thread(2);71174;23
Thread(2);71715;24
Thread(2);73679;25
Thread(2);73768;26
Thread(2);73989;27
Thread(2);74089;28
Thread(2);74770;29
Thread(2);75471;30
Thread(2);75522;31
Thread(2);76694;32
Thread(2);78597;33
Thread(2);79970;34
Thread(2);83647;35
