Type;Time_ns;Measurement
Sequential;160;0
Sequential;160;1
Sequential;160;2
Sequential;160;3
Sequential;160;4
Sequential;161;5
Sequential;161;6
Sequential;170;7
Sequential;170;8
Sequential;170;9
Sequential;170;10
Sequential;170;11
Sequential;171;12
Sequential;171;13
Sequential;171;14
Sequential;180;15
Sequential;180;16
Sequential;180;17
Sequential;180;18
Sequential;181;19
Sequential;181;20
Sequential;190;21
Sequential;190;22
Sequential;190;23
Sequential;190;24
Sequential;190;25
Sequential;191;26
Sequential;191;27
Sequential;191;28
Sequential;200;29
Sequential;200;30
Sequential;200;31
Sequential;200;32
Sequential;200;33
Sequential;201;34
Sequential;201;35
Sequential;201;36
Sequential;210;37
Sequential;210;38
Sequential;210;39
Thread(1);35216;0
Thread(1);35296;1
Thread(1);35817;2
Thread(1);36097;3
Thread(1);36108;4
Thread(1);36288;5
Thread(1);36578;6
Thread(1);36689;7
Thread(1);36840;8
Thread(1);37060;9
Thread(1);37300;10
Thread(1);37540;11
Thread(1);37631;12
Thread(1);37811;13
Thread(1);37821;14
Thread(1);37852;15
Thread(1);37951;16
Thread(1);38062;17
Thread(1);38552;18
Thread(1);39233;19
Thread(1);40466;20
Thread(1);40576;21
Thread(1);41809;22
Thread(1);42741;23
Thread(1);42780;24
Thread(1);44904;25
Thread(1);45135;26
Thread(1);45335;27
Thread(1);47349;28
Thread(1);47910;29
Thread(1);49182;30
Thread(1);51316;31
Thread(1);51647;32
Thread(1);52699;33
Thread(1);53140;34
Thread(1);53591;35
Thread(1);53811;36
Thread(1);54652;37
Thread(1);55074;38
Thread(1);56326;39
Thread(2);58009;0
Thread(2);58170;1
Thread(2);58400;2
Thread(2);58560;3
Thread(2);59452;4
Thread(2);60033;5
Thread(2);61235;6
Thread(2);62437;7
Thread(2);62447;8
Thread(2);62537;9
Thread(2);62748;10
Thread(2);63479;11
Thread(2);63850;12
Thread(2);64271;13
Thread(2);64511;14
Thread(2);64512;15
Thread(2);64822;16
Thread(2);64982;17
Thread(2);65193;18
Thread(2);65744;19
Thread(2);66245;20
Thread(2);66294;21
Thread(2);67056;22
Thread(2);67437;23
Thread(2);67827;24
Thread(2);68789;25
Thread(2);69400;26
Thread(2);69671;27
Thread(2);69741;28
Thread(2);69941;29
Thread(2);71794;30
Thread(2);73067;31
Thread(2);73067;32
Thread(2);73638;33
Thread(2);74970;34
Thread(2);77626;35
Thread(2);79660;36
Thread(2);80441;37
Thread(2);80562;38
Thread(2);83668;39
Thread(4);104997;0
Thread(4);105127;1
Thread(4);106670;2
Thread(4);106861;3
Thread(4);108363;4
Thread(4);108904;5
Thread(4);109195;6
Thread(4);110999;7
Thread(4);112652;8
Thread(4);113042;9
Thread(4);115457;10
Thread(4);121087;11
Thread(4);121428;12
Thread(4);121728;13
Thread(4);122570;14
Thread(4);123241;15
Thread(4);123833;16
Thread(4);124674;17
Thread(4);126037;18
Thread(4);126228;19
Thread(4);129463;20
Thread(4);130806;21
Thread(4);133350;22
Thread(4);137718;23
Thread(4);138270;24
Thread(4);138941;25
Thread(4);139693;26
Thread(4);141135;27
Thread(4);142708;28
Thread(4);149792;29
Thread(4);157045;30
Thread(4);158398;31
Thread(4);160922;32
Thread(4);161794;33
Thread(4);167575;34
Thread(4);172504;35
Thread(4);179657;36
Thread(4);184897;37
Thread(4);186249;38
Thread(4);199545;39
Thread(8);203412;0
Thread(8);211117;1
Thread(8);212108;2
Thread(8);214232;3
Thread(8);219211;4
Thread(8);219643;5
Thread(8);220865;6
Thread(8);224882;7
Thread(8);226425;8
Thread(8);227207;9
Thread(8);227217;10
Thread(8);229541;11
Thread(8);229562;12
Thread(8);229691;13
Thread(8);233308;14
Thread(8);233709;15
Thread(8);234680;16
Thread(8);235533;17
Thread(8);236144;18
Thread(8);240902;19
Thread(8);247825;20
Thread(8);249428;21
Thread(8);249518;22
Thread(8);251632;23
Thread(8);261621;24
Thread(8);266891;25
Thread(8);267943;26
Thread(8);271911;27
Thread(8);277371;28
Thread(8);277982;29
Thread(8);278473;30
Thread(8);279645;31
Thread(8);281519;32
Thread(8);282270;33
Thread(8);282781;34
Thread(8);292740;35
Thread(8);293581;36
Thread(8);297959;37
Thread(8);300364;38
Thread(8);300925;39
Thread(16);396785;0
Thread(16);404670;1
Thread(16);405301;2
Thread(16);409709;3
Thread(16);420810;4
Thread(16);421822;5
Thread(16);422163;6
Thread(16);425890;7
Thread(16);425990;8
Thread(16);428635;9
Thread(16);429096;10
Thread(16);435668;11
Thread(16);436830;12
Thread(16);437051;13
Thread(16);437602;14
Thread(16);443213;15
Thread(16);444174;16
Thread(16);448503;17
Thread(16);450977;18
Thread(16);453561;19
Thread(16);456768;20
Thread(16);459162;21
Thread(16);461587;22
Thread(16);464162;23
Thread(16);464712;24
Thread(16);470113;25
Thread(16);471375;26
Thread(16);472627;27
Thread(16);475984;28
Thread(16);479410;29
Thread(16);482807;30
Thread(16);482927;31
Thread(16);484239;32
Thread(16);488818;33
Thread(16);494419;34
Thread(16);494849;35
Thread(16);495240;36
Thread(16);498326;37
Thread(16);503064;38
Thread(16);518424;39
Thread(32);847031;0
Thread(32);852290;1
Thread(32);853022;2
Thread(32);858903;3
Thread(32);860566;4
Thread(32);866106;5
Thread(32);867289;6
Thread(32);870935;7
Thread(32);871025;8
Thread(32);873882;9
