Type;Time_ns;Measurement
Sequential;551;0
Sequential;561;1
Sequential;561;2
Sequential;581;3
Sequential;581;4
Sequential;581;5
Sequential;591;6
Sequential;591;7
Sequential;591;8
Sequential;591;9
Sequential;601;10
Sequential;601;11
Sequential;611;12
Sequential;611;13
Sequential;621;14
Sequential;622;15
Sequential;631;16
Sequential;641;17
Sequential;641;18
Sequential;641;19
Sequential;642;20
Sequential;651;21
Sequential;651;22
Sequential;651;23
Sequential;652;24
Sequential;661;25
Sequential;661;26
Sequential;671;27
Sequential;671;28
Sequential;681;29
Sequential;681;30
Sequential;682;31
Sequential;691;32
Sequential;691;33
Sequential;691;34
Sequential;701;35
Sequential;701;36
Sequential;701;37
Sequential;711;38
Sequential;722;39
Thread(1);55815;0
Thread(1);55834;1
Thread(1);56035;2
Thread(1);56206;3
Thread(1);56506;4
Thread(1);56807;5
Thread(1);56977;6
Thread(1);57248;7
Thread(1);57538;8
Thread(1);57749;9
Thread(1);57919;10
Thread(1);58560;11
Thread(1);58780;12
Thread(1);59141;13
Thread(1);59372;14
Thread(1);60023;15
Thread(1);60203;16
Thread(1);61175;17
Thread(1);61265;18
Thread(1);62337;19
Thread(1);62568;20
Thread(1);62667;21
Thread(1);63108;22
Thread(1);65162;23
Thread(1);65263;24
Thread(1);66876;25
Thread(1);70372;26
Thread(1);71815;27
Thread(1);73027;28
Thread(1);74059;29
Thread(1);74169;30
Thread(1);74450;31
Thread(1);75492;32
Thread(1);77776;33
Thread(1);82455;34
Thread(1);85120;35
Thread(1);106600;36
Thread(1);111269;37
Thread(1);111710;38
Thread(1);123332;39
Thread(2);84959;0
Thread(2);85160;1
Thread(2);85731;2
Thread(2);85761;3
Thread(2);86373;4
Thread(2);86733;5
Thread(2);86783;6
Thread(2);86823;7
Thread(2);87364;8
Thread(2);87715;9
Thread(2);87895;10
Thread(2);88256;11
Thread(2);88436;12
Thread(2);88506;13
Thread(2);88817;14
Thread(2);88947;15
Thread(2);89048;16
Thread(2);90400;17
Thread(2);91662;18
Thread(2);93235;19
Thread(2);93746;20
Thread(2);95920;21
Thread(2);98034;22
Thread(2);104326;23
Thread(2);107933;24
Thread(2);111590;25
Thread(2);113523;26
Thread(2);117862;27
Thread(2);119014;28
Thread(2);121699;29
Thread(2);122040;30
Thread(2);127079;31
Thread(2);127089;32
Thread(2);127700;33
Thread(2);127921;34
Thread(2);129343;35
Thread(2);132619;36
Thread(2);135144;37
Thread(2);142057;38
Thread(2);143148;39
Thread(4);140945;0
Thread(4);142197;1
Thread(4);142207;2
Thread(4);142608;3
Thread(4);143219;4
Thread(4);143509;5
Thread(4);144311;6
Thread(4);144602;7
Thread(4);144842;8
Thread(4);146776;9
Thread(4);146946;10
Thread(4);147096;11
Thread(4);147286;12
Thread(4);148128;13
Thread(4);150883;14
Thread(4);150944;15
Thread(4);152676;16
Thread(4);152737;17
Thread(4);152958;18
Thread(4);154601;19
Thread(4);154841;20
Thread(4);156625;21
Thread(4);156674;22
Thread(4);156935;23
Thread(4);158788;24
Thread(4);162595;25
Thread(4);162625;26
Thread(4);163617;27
Thread(4);167083;28
Thread(4);169428;29
Thread(4);170110;30
Thread(4);171162;31
Thread(4);171221;32
Thread(4);172233;33
Thread(4);177414;34
Thread(4);180409;35
Thread(4);183936;36
Thread(4);189065;37
Thread(4);198513;38
Thread(4);203322;39
Thread(8);258015;0
Thread(8);262272;1
Thread(8);263074;2
Thread(8);263735;3
Thread(8);268665;4
Thread(8);279044;5
Thread(8);279585;6
Thread(8);281378;7
Thread(8);293801;8
Thread(8);309361;9
Thread(8);309391;10
Thread(8);309602;11
Thread(8);309661;12
Thread(8);310513;13
Thread(8);313459;14
Thread(8);314010;15
Thread(8);314200;16
Thread(8);315472;17
Thread(8);315803;18
Thread(8);315923;19
Thread(8);320732;20
Thread(8);323578;21
Thread(8);324449;22
Thread(8);331122;23
Thread(8);336252;24
Thread(8);337073;25
Thread(8);338636;26
Thread(8);340139;27
Thread(8);354336;28
Thread(8);354446;29
Thread(8);355127;30
Thread(8);355728;31
Thread(8);374183;32
Thread(8);374433;33
Thread(8);376618;34
Thread(8);381787;35
Thread(8);393499;36
Thread(8);394060;37
Thread(8);397366;38
Thread(8);409159;39
Thread(16);430458;0
Thread(16);433815;1
Thread(16);435217;2
Thread(16);439535;3
Thread(16);445947;4
Thread(16);451769;5
Thread(16);452931;6
Thread(16);453282;7
Thread(16);454524;8
Thread(16);455175;9
Thread(16);463620;10
Thread(16);463641;11
Thread(16);464342;12
Thread(16);464413;13
Thread(16);465985;14
Thread(16);472427;15
Thread(16);475312;16
Thread(16);475423;17
