Type;Time_ns;Measurement
Sequential;150;0
Sequential;150;1
Sequential;160;2
Sequential;160;3
Sequential;170;4
Sequential;170;5
Sequential;170;6
Sequential;170;7
Sequential;171;8
Sequential;171;9
Sequential;171;10
Sequential;180;11
Sequential;180;12
Sequential;180;13
Sequential;180;14
Sequential;180;15
Sequential;181;16
Sequential;181;17
Sequential;181;18
Sequential;181;19
Sequential;190;20
Sequential;190;21
Sequential;190;22
Sequential;190;23
Sequential;191;24
Sequential;191;25
Sequential;200;26
Sequential;200;27
Sequential;200;28
Sequential;200;29
Sequential;200;30
Sequential;200;31
Sequential;200;32
Sequential;201;33
Sequential;201;34
Sequential;201;35
Sequential;210;36
Sequential;210;37
Sequential;210;38
Sequential;210;39
Thread(1);45065;0
Thread(1);45495;1
Thread(1);46026;2
Thread(1);47119;3
Thread(1);47299;4
Thread(1);47880;5
Thread(1);48010;6
Thread(1);49022;7
Thread(1);49252;8
Thread(1);49993;9
Thread(1);50215;10
Thread(1);50285;11
Thread(1);50405;12
Thread(1);51927;13
Thread(1);52338;14
Thread(1);52849;15
Thread(1);53851;16
Thread(1);54322;17
Thread(1);56075;18
Thread(1);56396;19
Thread(1);58460;20
Thread(1);58780;21
Thread(1);60163;22
Thread(1);60844;23
Thread(1);62738;24
Thread(1);64181;25
Thread(1);64722;26
Thread(1);65413;27
Thread(1);65974;28
Thread(1);67597;29
Thread(1);68378;30
Thread(1);68879;31
Thread(1);69120;32
Thread(1);70863;33
Thread(1);74059;34
Thread(1);74089;35
Thread(1);77676;36
Thread(1);80962;37
Thread(1);81343;38
Thread(1);82795;39
Thread(2);71183;0
Thread(2);71374;1
Thread(2);72176;2
Thread(2);73568;3
Thread(2);74390;4
Thread(2);75752;5
Thread(2);76052;6
Thread(2);77625;7
Thread(2);78448;8
Thread(2);79039;9
Thread(2);80010;10
Thread(2);82645;11
Thread(2);84418;12
Thread(2);85360;13
Thread(2);86913;14
Thread(2);89719;15
Thread(2);90550;16
Thread(2);90991;17
Thread(2);94427;18
Thread(2);94758;19
Thread(2);94988;20
Thread(2);95780;21
Thread(2);96631;22
Thread(2);97713;23
Thread(2);97964;24
Thread(2);98214;25
Thread(2);98334;26
Thread(2);99086;27
Thread(2);101591;28
Thread(2);102623;29
Thread(2);103504;30
Thread(2);103905;31
Thread(2);104045;32
Thread(2);105498;33
Thread(2);108213;34
Thread(2);108835;35
Thread(2);109075;36
Thread(2);113363;37
Thread(2);114404;38
Thread(2);117851;39
Thread(4);113843;0
Thread(4);115447;1
Thread(4);116910;2
Thread(4);117271;3
Thread(4);118071;4
Thread(4);119034;5
Thread(4);123011;6
Thread(4);124914;7
Thread(4);125055;8
Thread(4);126157;9
Thread(4);126558;10
Thread(4);127269;11
Thread(4);127931;12
Thread(4);128501;13
Thread(4);128711;14
Thread(4);130675;15
Thread(4);131597;16
Thread(4);132148;17
Thread(4);132639;18
Thread(4);133100;19
Thread(4);133230;20
Thread(4);137117;21
Thread(4);138700;22
Thread(4);139833;23
Thread(4);140734;24
Thread(4);149070;25
Thread(4);149190;26
Thread(4);151484;27
Thread(4);152667;28
Thread(4);153789;29
Thread(4);155302;30
Thread(4);159550;31
Thread(4);160421;32
Thread(4);162775;33
Thread(4);168016;34
Thread(4);171412;35
Thread(4);175910;36
Thread(4);178836;37
Thread(4);179587;38
Thread(4);181241;39
Thread(8);211126;0
Thread(8);212259;1
Thread(8);223259;2
Thread(8);225143;3
